"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2009 (-)"
"Alecrim","4300307","-27.657900000000","-54.764899999990","1"
"Alegrete","4300406","-29.790199999990","-55.794899999990","3"
"Alegria","4300455","-27.834499999990","-54.055700000000","1"
"Alvorada","4300604","-29.991399999990","-51.080900000000","67"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","1"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","3"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","2"
"Bagé","4301602","-31.329699999990","-54.099899999990","11"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","2"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","2"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","1"
"Barracão","4301800","-27.673900000000","-51.458599999990","1"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","2"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","10"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","2"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","1"
"Boqueirão do Leão","4302451","-29.304600000000","-52.428400000000","1"
"Braga","4302600","-27.617300000000","-53.740499999990","2"
"Butiá","4302709","-30.117899999990","-51.960099999990","3"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","2"
"Cacequi","4302907","-29.888300000000","-54.822000000000","2"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","4"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","19"
"Caibaté","4303301","-28.290500000000","-54.645400000000","1"
"Camaquã","4303509","-30.848900000000","-51.804299999990","8"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","1"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","2"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","2"
"Candelária","4304200","-29.668399999990","-52.789499999990","8"
"Candiota","4304358","-31.551500000000","-53.677300000000","3"
"Canguçu","4304507","-31.396000000000","-52.678199999990","1"
"Canoas","4304606","-29.912800000000","-51.185699999990","105"
"Capão Bonito do Sul","4304622","-29.764199999990","-50.028199999990","1"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","22"
"Capão do Cipó","4304655","-28.904000000000","-54.700000000000","1"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","3"
"Carazinho","4304705","-28.295800000000","-52.793300000000","2"
"Caseiros","4304952","-28.258199999990","-51.686100000000","1"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","87"
"Cerrito","4305124","-31.841899999990","-52.800400000000","1"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","2"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","1"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","1"
"Cidreira","4305454","-30.160399999990","-50.233800000000","6"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","2"
"Constantina","4305801","-27.731999999990","-52.993800000000","2"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","2"
"Cotiporã","4305959","-28.989100000000","-51.697099999990","1"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","1"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","13"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","1"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","2"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","8"
"Dom Pedro de Alcântara","4306551","-29.363900000000","-49.853000000000","2"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","13"
"Encantado","4306809","-29.235099999990","-51.870300000000","1"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","8"
"Erechim","4307005","-27.636399999990","-52.269700000000","18"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","2"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","1"
"Espumoso","4307500","-28.728600000000","-52.846100000000","1"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","1"
"Esteio","4307708","-29.852000000000","-51.184100000000","19"
"Estrela","4307807","-29.501600000000","-51.960500000000","1"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","6"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","1"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","2"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","2"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","4"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","1"
"Giruá","4309001","-28.029699999990","-54.351700000000","3"
"Gramado","4309100","-29.373300000000","-50.876199999990","3"
"Gravataí","4309209","-29.941299999990","-50.986899999990","45"
"Guaíba","4309308","-30.108599999990","-51.323300000000","34"
"Guaporé","4309407","-28.839900000000","-51.889499999990","4"
"Herveiras","4309571","-29.455200000000","-52.655299999990","1"
"Horizontina","4309605","-27.628200000000","-54.305300000000","1"
"Ibarama","4309753","-29.420300000000","-53.129500000000","1"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","1"
"Ibirapuitã","4309951","-28.624700000000","-52.515799999990","2"
"Ibirubá","4310009","-28.630199999990","-53.096100000000","1"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","3"
"Ijuí","4310207","-28.388100000000","-53.920000000000","5"
"Imbé","4310330","-29.975300000000","-50.128100000000","3"
"Ipê","4310439","-28.817100000000","-51.285899999990","2"
"Itaara","4310538","-29.601299999990","-53.772500000000","2"
"Itaqui","4310603","-29.131000000000","-56.551499999990","3"
"Itati","4310652","-29.488320000000","-50.113579999990","1"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","1"
"Ivoti","4310801","-29.599499999990","-51.153300000000","1"
"Jaguarão","4311007","-32.560400000000","-53.377000000000","2"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","2"
"Jari","4311130","-29.292200000000","-54.223700000000","2"
"Júlio de Castilhos","4311205","-29.229800000000","-53.677199999990","1"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","4"
"Lagoão","4311254","-29.234800000000","-52.799700000000","1"
"Lajeado","4311403","-29.459099999990","-51.964399999990","8"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","3"
"Maçambará","4311718","-29.144500000000","-56.067399999990","1"
"Mampituba","4311734","-29.213600000000","-49.931100000000","1"
"Maquiné","4311775","-29.679800000000","-50.207900000000","1"
"Marau","4311809","-28.449800000000","-52.198599999990","2"
"Mata","4312104","-29.564900000000","-54.464100000000","1"
"Maximiliano de Almeida","4312203","-27.632500000000","-51.802100000000","1"
"Minas do Leão","4312252","-30.134599999990","-52.042299999990","1"
"Miraguaí","4312302","-27.497000000000","-53.689100000000","3"
"Montenegro","4312401","-29.682400000000","-51.467900000000","6"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","1"
"Nonoai","4312708","-27.368900000000","-52.775599999990","3"
"Nova Alvorada","4312757","-28.682200000000","-52.163100000000","1"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","1"
"Nova Bréscia","4313003","-29.218200000000","-52.031900000000","1"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","2"
"Nova Palma","4313102","-29.471000000000","-53.468899999990","2"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","1"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","2"
"Novo Cabrais","4313391","-29.733799999990","-52.948900000000","1"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","37"
"Osório","4313508","-29.888100000000","-50.266700000000","1"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","1"
"Palmeira das Missões","4313706","-27.900600000000","-53.313400000000","9"
"Panambi","4313904","-28.283300000000","-53.502299999990","2"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","3"
"Parobé","4314050","-29.624300000000","-50.831200000000","4"
"Passo do Sobrado","4314076","-29.748000000000","-52.274799999990","1"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","36"
"Pelotas","4314407","-31.764900000000","-52.337100000000","38"
"Pinhal","4314456","-27.507999999990","-53.208199999990","1"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","1"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","3"
"Planalto","4314704","-27.329699999990","-53.057500000000","1"
"Pontão","4314779","-28.058499999990","-52.679099999990","1"
"Portão","4314803","-29.701499999990","-51.242899999990","7"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","363"
"Porto Mauá","4315057","-27.579599999990","-54.665700000000","1"
"Progresso","4315156","-29.244199999990","-52.319699999990","1"
"Quaraí","4315305","-30.384000000000","-56.448300000000","3"
"Redentora","4315404","-27.664000000000","-53.640700000000","2"
"Restinga Sêca","4315503","-29.818800000000","-53.380699999990","1"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","18"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","4"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","2"
"Rodeio Bonito","4315909","-27.474200000000","-53.170600000000","1"
"Rolante","4316006","-29.646200000000","-50.581899999990","4"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","1"
