"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2005 (-)"
"Agudo","4300109","-29.644700000000","-53.251500000000","3"
"Alegrete","4300406","-29.790199999990","-55.794899999990","15"
"Alegria","4300455","-27.834499999990","-54.055700000000","1"
"Alpestre","4300505","-27.250200000000","-53.034100000000","2"
"Alvorada","4300604","-29.991399999990","-51.080900000000","56"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","1"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","1"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","2"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","2"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","4"
"Bagé","4301602","-31.329699999990","-54.099899999990","12"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","1"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","2"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","2"
"Barra do Quaraí","4301875","-30.202900000000","-57.549700000000","2"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","2"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","5"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","7"
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","1"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","4"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","1"
"Braga","4302600","-27.617300000000","-53.740499999990","2"
"Butiá","4302709","-30.117899999990","-51.960099999990","1"
"Cacequi","4302907","-29.888300000000","-54.822000000000","2"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","4"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","19"
"Camaquã","4303509","-30.848900000000","-51.804299999990","3"
"Camargo","4303558","-28.588000000000","-52.200299999990","1"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","2"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","2"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","2"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","1"
"Candelária","4304200","-29.668399999990","-52.789499999990","5"
"Candiota","4304358","-31.551500000000","-53.677300000000","1"
"Canela","4304408","-29.356000000000","-50.811900000000","3"
"Canguçu","4304507","-31.396000000000","-52.678199999990","1"
"Canoas","4304606","-29.912800000000","-51.185699999990","67"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","6"
"Carazinho","4304705","-28.295800000000","-52.793300000000","7"
"Casca","4304903","-28.560500000000","-51.981499999990","1"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","74"
"Cerrito","4305124","-31.841899999990","-52.800400000000","1"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","3"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","3"
"Cidreira","4305454","-30.160399999990","-50.233800000000","1"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","1"
"Condor","4305702","-28.207500000000","-53.490499999990","1"
"Coqueiros do Sul","4305850","-28.119399999990","-52.784199999990","1"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","3"
"Cotiporã","4305959","-28.989100000000","-51.697099999990","1"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","2"
"Cristal","4306056","-31.004600000000","-52.043599999990","3"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","8"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","3"
