"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2014 (-)"
"Agudo","4300109","-29.644700000000","-53.251500000000","2"
"Alegrete","4300406","-29.790199999990","-55.794899999990","6"
"Alpestre","4300505","-27.250200000000","-53.034100000000","2"
"Alvorada","4300604","-29.991399999990","-51.080900000000","156"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","1"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","2"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","1"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","1"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","1"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","4"
"Bagé","4301602","-31.329699999990","-54.099899999990","11"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","8"
"Barão","4301651","-29.372500000000","-51.494900000000","1"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","2"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","2"
"Barra do Quaraí","4301875","-30.202900000000","-57.549700000000","1"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","1"
"Barracão","4301800","-27.673900000000","-51.458599999990","3"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","2"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","20"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","1"
"Boqueirão do Leão","4302451","-29.304600000000","-52.428400000000","1"
"Butiá","4302709","-30.117899999990","-51.960099999990","4"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","2"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","7"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","35"
"Caibaté","4303301","-28.290500000000","-54.645400000000","1"
"Camaquã","4303509","-30.848900000000","-51.804299999990","4"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","1"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","1"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","5"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","2"
"Candelária","4304200","-29.668399999990","-52.789499999990","9"
"Canela","4304408","-29.356000000000","-50.811900000000","5"
"Canguçu","4304507","-31.396000000000","-52.678199999990","2"
