"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2002 (-)"
"Agudo","4300109","-29.644700000000","-53.251500000000","1"
"Alegrete","4300406","-29.790199999990","-55.794899999990","20"
"Alegria","4300455","-27.834499999990","-54.055700000000","1"
"Alpestre","4300505","-27.250200000000","-53.034100000000","1"
"Alvorada","4300604","-29.991399999990","-51.080900000000","76"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","1"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","1"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","1"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","3"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","2"
"Bagé","4301602","-31.329699999990","-54.099899999990","16"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","2"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","2"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","3"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","3"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","5"
"Boa Vista das Missões","4302154","-27.667100000000","-53.310200000000","1"
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","1"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","1"
"Boqueirão do Leão","4302451","-29.304600000000","-52.428400000000","1"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","2"
"Braga","4302600","-27.617300000000","-53.740499999990","1"
"Butiá","4302709","-30.117899999990","-51.960099999990","3"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","3"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","10"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","18"
"Camaquã","4303509","-30.848900000000","-51.804299999990","11"
"Camargo","4303558","-28.588000000000","-52.200299999990","2"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","1"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","4"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","2"
"Campos Borges","4304101","-28.887100000000","-53.000799999990","1"
"Candelária","4304200","-29.668399999990","-52.789499999990","4"
"Canela","4304408","-29.356000000000","-50.811900000000","4"
"Canguçu","4304507","-31.396000000000","-52.678199999990","2"
"Canoas","4304606","-29.912800000000","-51.185699999990","61"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","8"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","1"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","1"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","1"
"Carazinho","4304705","-28.295800000000","-52.793300000000","6"
"Catuípe","4305009","-28.255400000000","-54.013199999990","1"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","55"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","1"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","2"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","4"
"Chuí","4305439","-33.686599999990","-53.459400000000","1"
"Cidreira","4305454","-30.160399999990","-50.233800000000","4"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","2"
"Condor","4305702","-28.207500000000","-53.490499999990","2"
"Constantina","4305801","-27.731999999990","-52.993800000000","1"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","1"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","1"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","10"
"Cruzaltense","4306130","-27.664400000000","-52.649200000000","1"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","2"
"Dois Irmãos das Missões","4306429","-27.662099999990","-53.530400000000","1"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","2"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","9"
"Dona Francisca","4306700","-29.619499999990","-53.361699999990","2"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","7"
"Encantado","4306809","-29.235099999990","-51.870300000000","1"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","1"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","1"
"Erechim","4307005","-27.636399999990","-52.269700000000","26"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","1"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","3"
"Espumoso","4307500","-28.728600000000","-52.846100000000","3"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","4"
"Esteio","4307708","-29.852000000000","-51.184100000000","22"
"Estrela","4307807","-29.501600000000","-51.960500000000","3"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","3"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","3"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","1"
"Feliz","4308102","-29.452700000000","-51.303199999990","2"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","2"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","1"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","10"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","2"
"General Câmara","4308805","-29.903199999990","-51.761200000000","1"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","1"
"Giruá","4309001","-28.029699999990","-54.351700000000","3"
"Gramado","4309100","-29.373300000000","-50.876199999990","2"
"Gravataí","4309209","-29.941299999990","-50.986899999990","24"
"Guaíba","4309308","-30.108599999990","-51.323300000000","11"
"Guarani das Missões","4309506","-28.149100000000","-54.562899999990","3"
"Herval","4307104","-32.024000000000","-53.394399999990","2"
"Herveiras","4309571","-29.455200000000","-52.655299999990","1"
"Horizontina","4309605","-27.628200000000","-54.305300000000","1"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","6"
"Ijuí","4310207","-28.388100000000","-53.920000000000","7"
"Imbé","4310330","-29.975300000000","-50.128100000000","1"
"Itaqui","4310603","-29.131000000000","-56.551499999990","15"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","1"
"Jaboticaba","4310850","-27.634699999990","-53.276200000000","1"
"Jaguarão","4311007","-32.560400000000","-53.377000000000","3"
"Jaguari","4311106","-29.493600000000","-54.703000000000","2"
"Júlio de Castilhos","4311205","-29.229800000000","-53.677199999990","5"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","5"
"Lagoão","4311254","-29.234800000000","-52.799700000000","1"
"Lajeado","4311403","-29.459099999990","-51.964399999990","12"
"Lajeado do Bugre","4311429","-27.691299999990","-53.181800000000","1"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","1"
"Marau","4311809","-28.449800000000","-52.198599999990","3"
"Mata","4312104","-29.564900000000","-54.464100000000","1"
"Minas do Leão","4312252","-30.134599999990","-52.042299999990","1"
"Miraguaí","4312302","-27.497000000000","-53.689100000000","1"
"Montenegro","4312401","-29.682400000000","-51.467900000000","6"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","1"
"Muçum","4312609","-29.163000000000","-51.871400000000","1"
"Muliterno","4312625","-28.325299999990","-51.769700000000","1"
"Nonoai","4312708","-27.368900000000","-52.775599999990","3"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","1"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","1"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","48"
"Osório","4313508","-29.888100000000","-50.266700000000","3"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","2"
"Palmeira das Missões","4313706","-27.900600000000","-53.313400000000","8"
"Panambi","4313904","-28.283300000000","-53.502299999990","1"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","2"
"Parobé","4314050","-29.624300000000","-50.831200000000","7"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","26"
"Paverama","4314159","-29.548500000000","-51.733899999990","1"
"Pejuçara","4314308","-28.428300000000","-53.657899999990","1"
"Pelotas","4314407","-31.764900000000","-52.337100000000","17"
"Pinhal Grande","4314472","-29.344999999990","-53.320700000000","1"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","1"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","3"
"Planalto","4314704","-27.329699999990","-53.057500000000","3"
"Pontão","4314779","-28.058499999990","-52.679099999990","1"
"Portão","4314803","-29.701499999990","-51.242899999990","8"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","410"
"Porto Mauá","4315057","-27.579599999990","-54.665700000000","1"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","4"
"Quaraí","4315305","-30.384000000000","-56.448300000000","4"
"Redentora","4315404","-27.664000000000","-53.640700000000","3"
"Restinga Sêca","4315503","-29.818800000000","-53.380699999990","1"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","18"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","3"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","1"
"Rodeio Bonito","4315909","-27.474200000000","-53.170600000000","1"
"Rolador","4315958","-28.257670000000","-54.818640000000","1"
"Rolante","4316006","-29.646200000000","-50.581899999990","4"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","1"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","3"
"Rosário do Sul","4316402","-30.251500000000","-54.922100000000","4"
"Salto do Jacuí","4316451","-29.095099999990","-53.213299999990","2"
"Sananduva","4316600","-27.946999999990","-51.807899999990","1"
"Santa Bárbara do Sul","4316709","-28.365300000000","-53.250999999990","1"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","17"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","23"
"Santa Maria do Herval","4316956","-29.490200000000","-50.991900000000","1"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","11"
"Santa Vitória do Palmar","4317301","-33.524999999990","-53.371699999990","2"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","9"
"Santiago","4317400","-29.189699999990","-54.866599999990","3"
"Santo Ângelo","4317509","-28.300100000000","-54.266800000000","8"
"Santo Antônio da Patrulha","4317608","-29.826799999990","-50.517499999990","5"
"Santo Antônio das Missões","4317707","-28.513999999990","-55.225099999990","4"
"São Borja","4318002","-28.657800000000","-56.003599999990","10"
"São Francisco de Assis","4318101","-29.554700000000","-55.125300000000","4"
"São Francisco de Paula","4318200","-29.440400000000","-50.582799999990","4"
"São Gabriel","4318309","-30.333700000000","-54.321700000000","4"
"São Jerônimo","4318408","-29.971599999990","-51.725099999990","2"
"São José do Herval","4318465","-29.052000000000","-52.295000000000","1"
"São José do Hortêncio","4318481","-29.527999999990","-51.245000000000","1"
"São José do Ouro","4318606","-27.770700000000","-51.596600000000","1"
"São Leopoldo","4318705","-29.754500000000","-51.149799999990","58"
"São Lourenço do Sul","4318804","-31.356400000000","-51.971499999990","1"
"São Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","6"
"São Marcos","4319000","-28.967700000000","-51.069600000000","2"
"São Nicolau","4319208","-28.183399999990","-55.265400000000","3"
"São Pedro do Butiá","4319372","-28.124300000000","-54.892600000000","1"
"São Pedro do Sul","4319406","-29.620200000000","-54.185499999990","2"
"São Sebastião do Caí","4319505","-29.588500000000","-51.374899999990","3"
"São Sepé","4319604","-30.164300000000","-53.560299999990","1"
"São Valentim","4319703","-27.558299999990","-52.523699999990","2"
"São Valentim do Sul","4319711","-29.045100000000","-51.768400000000","1"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","17"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","18"
"Sarandi","4320107","-27.942000000000","-52.923099999990","2"
"Seberi","4320206","-27.482900000000","-53.402600000000","1"
"Segredo","4320263","-29.352300000000","-52.976700000000","1"
"Sertão","4320503","-27.979800000000","-52.258800000000","1"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","1"
"Soledade","4320800","-28.830600000000","-52.513100000000","5"
"Taquara","4321204","-29.650500000000","-50.775300000000","13"
"Taquari","4321303","-29.794300000000","-51.865299999990","2"
"Tenente Portela","4321402","-27.371099999990","-53.758499999990","3"
"Teutônia","4321451","-29.448200000000","-51.804400000000","1"
"Tio Hugo","4321469","-28.574040000000","-52.594900000000","1"
"Tiradentes do Sul","4321477","-27.402200000000","-54.081400000000","1"
"Torres","4321501","-29.333400000000","-49.733300000000","3"
"Tramandaí","4321600","-29.984100000000","-50.132199999990","9"
"Três Coroas","4321709","-29.513700000000","-50.773899999990","2"
"Três de Maio","4321808","-27.780000000000","-54.235700000000","1"
"Três Forquilhas","4321832","-29.538399999990","-50.070799999990","1"
"Trindade do Sul","4321956","-27.523900000000","-52.895600000000","2"
"Triunfo","4322004","-29.929099999990","-51.707500000000","1"
"Tunas","4322152","-29.103899999990","-52.953800000000","1"
"Tupanciretã","4322202","-29.085799999990","-53.844499999990","2"
"Uruguaiana","4322400","-29.761399999990","-57.085299999990","22"
"Vacaria","4322509","-28.507899999990","-50.941800000000","16"
"Vale do Sol","4322533","-29.596699999990","-52.683900000000","1"
"Venâncio Aires","4322608","-29.614300000000","-52.193199999990","5"
"Vera Cruz","4322707","-29.718399999990","-52.515200000000","4"
"Viamão","4323002","-30.081900000000","-51.019399999990","31"
"Vicente Dutra","4323101","-27.160799999990","-53.402200000000","9"
"Vila Maria","4323408","-28.535900000000","-52.148699999990","1"
