"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2008 (-)"
"Alegrete","4300406","-29.790199999990","-55.794899999990","6"
"Alpestre","4300505","-27.250200000000","-53.034100000000","4"
"Alvorada","4300604","-29.991399999990","-51.080900000000","75"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","2"
"André da Rocha","4300661","-28.628299999990","-51.579700000000","1"
"Araricá","4300877","-29.616800000000","-50.929099999990","1"
"Aratiba","4300901","-27.397800000000","-52.297499999990","3"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","1"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","1"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","2"
"Bagé","4301602","-31.329699999990","-54.099899999990","10"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","5"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","1"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","1"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","3"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","3"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","9"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","5"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","1"
"Braga","4302600","-27.617300000000","-53.740499999990","1"
"Butiá","4302709","-30.117899999990","-51.960099999990","3"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","4"
"Cacequi","4302907","-29.888300000000","-54.822000000000","1"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","4"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","22"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","1"
"Caibaté","4303301","-28.290500000000","-54.645400000000","1"
"Camaquã","4303509","-30.848900000000","-51.804299999990","5"
"Camargo","4303558","-28.588000000000","-52.200299999990","1"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","2"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","3"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","7"
"Candelária","4304200","-29.668399999990","-52.789499999990","3"
"Candiota","4304358","-31.551500000000","-53.677300000000","2"
"Canela","4304408","-29.356000000000","-50.811900000000","6"
"Canguçu","4304507","-31.396000000000","-52.678199999990","3"
"Canoas","4304606","-29.912800000000","-51.185699999990","82"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","10"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","3"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","1"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","2"
"Carazinho","4304705","-28.295800000000","-52.793300000000","5"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","75"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","1"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","1"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","1"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","1"
