"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2003 (-)"
"Alecrim","4300307","-27.657900000000","-54.764899999990","1"
"Alegrete","4300406","-29.790199999990","-55.794899999990","12"
"Alegria","4300455","-27.834499999990","-54.055700000000","1"
"Alvorada","4300604","-29.991399999990","-51.080900000000","49"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","1"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","3"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","1"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","3"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","2"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","1"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","1"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","3"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","1"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","1"
"Bagé","4301602","-31.329699999990","-54.099899999990","18"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","4"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","1"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","1"
"Barra do Quaraí","4301875","-30.202900000000","-57.549700000000","1"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","2"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","5"
"Benjamin Constant do Sul","4302055","-27.508600000000","-52.599499999990","1"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","10"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","3"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","1"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","2"
"Braga","4302600","-27.617300000000","-53.740499999990","1"
"Butiá","4302709","-30.117899999990","-51.960099999990","2"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","1"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","8"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","22"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","2"
"Caibaté","4303301","-28.290500000000","-54.645400000000","1"
"Camaquã","4303509","-30.848900000000","-51.804299999990","4"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","2"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","3"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","2"
"Candelária","4304200","-29.668399999990","-52.789499999990","9"
"Candiota","4304358","-31.551500000000","-53.677300000000","1"
"Canguçu","4304507","-31.396000000000","-52.678199999990","2"
"Canoas","4304606","-29.912800000000","-51.185699999990","68"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","2"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","1"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","4"
"Carazinho","4304705","-28.295800000000","-52.793300000000","5"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","1"
"Casca","4304903","-28.560500000000","-51.981499999990","1"
"Catuípe","4305009","-28.255400000000","-54.013199999990","2"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","48"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","2"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","1"
"Chapada","4305306","-28.055900000000","-53.066499999990","1"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","2"
"Cidreira","4305454","-30.160399999990","-50.233800000000","5"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","1"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","3"
"Coxilha","4305975","-28.128000000000","-52.302300000000","1"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","2"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","8"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","1"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","1"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","1"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","2"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","1"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","1"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","5"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","9"
"Encantado","4306809","-29.235099999990","-51.870300000000","1"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","3"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","2"
"Erechim","4307005","-27.636399999990","-52.269700000000","19"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","2"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","1"
"Espumoso","4307500","-28.728600000000","-52.846100000000","1"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","3"
"Esteio","4307708","-29.852000000000","-51.184100000000","13"
"Estrela","4307807","-29.501600000000","-51.960500000000","1"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","3"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","1"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","3"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","2"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","1"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","1"
"General Câmara","4308805","-29.903199999990","-51.761200000000","2"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","1"
"Giruá","4309001","-28.029699999990","-54.351700000000","5"
"Gramado","4309100","-29.373300000000","-50.876199999990","2"
"Gravataí","4309209","-29.941299999990","-50.986899999990","12"
"Guaíba","4309308","-30.108599999990","-51.323300000000","20"
"Guaporé","4309407","-28.839900000000","-51.889499999990","2"
"Guarani das Missões","4309506","-28.149100000000","-54.562899999990","1"
"Harmonia","4309555","-29.545600000000","-51.418500000000","1"
"Herval","4307104","-32.024000000000","-53.394399999990","1"
"Horizontina","4309605","-27.628200000000","-54.305300000000","1"
"Hulha Negra","4309654","-31.406700000000","-53.866700000000","1"
"Ibirapuitã","4309951","-28.624700000000","-52.515799999990","2"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","3"
"Ijuí","4310207","-28.388100000000","-53.920000000000","9"
"Ilópolis","4310306","-28.928200000000","-52.125799999990","1"
"Imbé","4310330","-29.975300000000","-50.128100000000","1"
"Ipê","4310439","-28.817100000000","-51.285899999990","1"
"Iraí","4310504","-27.195100000000","-53.254300000000","2"
"Itapuca","4310579","-28.776800000000","-52.169300000000","1"
