"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2013 (-)"
"Aceguá","4300034","-31.860759999990","-54.167059999990","1"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","1"
"Alecrim","4300307","-27.657900000000","-54.764899999990","2"
"Alegrete","4300406","-29.790199999990","-55.794899999990","12"
"Alpestre","4300505","-27.250200000000","-53.034100000000","1"
"Alvorada","4300604","-29.991399999990","-51.080900000000","95"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","2"
"Arambaré","4300851","-30.909300000000","-51.504600000000","1"
"Araricá","4300877","-29.616800000000","-50.929099999990","1"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","2"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","4"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","1"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","3"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","1"
"Áurea","4301552","-27.693600000000","-52.050500000000","1"
"Bagé","4301602","-31.329699999990","-54.099899999990","8"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","4"
"Barão","4301651","-29.372500000000","-51.494900000000","1"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","4"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","1"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","16"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","1"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","2"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","2"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","1"
"Braga","4302600","-27.617300000000","-53.740499999990","3"
"Butiá","4302709","-30.117899999990","-51.960099999990","7"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","2"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","6"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","21"
"Camaquã","4303509","-30.848900000000","-51.804299999990","6"
"Camargo","4303558","-28.588000000000","-52.200299999990","1"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","6"
"Candelária","4304200","-29.668399999990","-52.789499999990","7"
"Cândido Godói","4304309","-27.951499999990","-54.751700000000","1"
"Canela","4304408","-29.356000000000","-50.811900000000","4"
"Canguçu","4304507","-31.396000000000","-52.678199999990","2"
"Canoas","4304606","-29.912800000000","-51.185699999990","102"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","13"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","1"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","4"
"Caraá","4304713","-29.786899999990","-50.431600000000","1"
"Carazinho","4304705","-28.295800000000","-52.793300000000","3"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","3"
"Catuípe","4305009","-28.255400000000","-54.013199999990","2"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","87"
"Cerrito","4305124","-31.841899999990","-52.800400000000","1"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","1"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","2"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","5"
"Chuí","4305439","-33.686599999990","-53.459400000000","2"
"Cidreira","4305454","-30.160399999990","-50.233800000000","4"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","1"
"Constantina","4305801","-27.731999999990","-52.993800000000","2"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","1"
"Coronel Pilar","4305934","-29.268400000000","-51.687899999990","1"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","1"
"Cristal","4306056","-31.004600000000","-52.043599999990","1"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","5"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","1"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","2"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","3"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","8"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","9"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","5"
"Erechim","4307005","-27.636399999990","-52.269700000000","17"
"Ernestina","4307054","-28.497699999990","-52.583599999990","1"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","1"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","2"
"Espumoso","4307500","-28.728600000000","-52.846100000000","1"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","1"
"Esteio","4307708","-29.852000000000","-51.184100000000","13"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","1"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","9"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","1"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","1"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","1"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","4"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","1"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","3"
"Giruá","4309001","-28.029699999990","-54.351700000000","1"
"Gramado","4309100","-29.373300000000","-50.876199999990","1"
"Gravataí","4309209","-29.941299999990","-50.986899999990","73"
"Guaíba","4309308","-30.108599999990","-51.323300000000","22"
"Guaporé","4309407","-28.839900000000","-51.889499999990","4"
"Horizontina","4309605","-27.628200000000","-54.305300000000","1"
"Ibarama","4309753","-29.420300000000","-53.129500000000","1"
"Ibirubá","4310009","-28.630199999990","-53.096100000000","1"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","3"
"Ijuí","4310207","-28.388100000000","-53.920000000000","7"
"Imbé","4310330","-29.975300000000","-50.128100000000","8"
"Ipê","4310439","-28.817100000000","-51.285899999990","2"
