"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2007 (-)"
"Agudo","4300109","-29.644700000000","-53.251500000000","2"
"Alecrim","4300307","-27.657900000000","-54.764899999990","1"
"Alegrete","4300406","-29.790199999990","-55.794899999990","11"
"Alegria","4300455","-27.834499999990","-54.055700000000","1"
"Alpestre","4300505","-27.250200000000","-53.034100000000","1"
"Alvorada","4300604","-29.991399999990","-51.080900000000","65"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","1"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","4"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","1"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","2"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","1"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","1"
"Bagé","4301602","-31.329699999990","-54.099899999990","10"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","3"
"Barão de Cotegipe","4301701","-27.620799999990","-52.379800000000","1"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","1"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","9"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","3"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","2"
"Butiá","4302709","-30.117899999990","-51.960099999990","4"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","1"
"Cacequi","4302907","-29.888300000000","-54.822000000000","1"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","4"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","29"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","1"
"Camaquã","4303509","-30.848900000000","-51.804299999990","6"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","1"
"Candelária","4304200","-29.668399999990","-52.789499999990","9"
"Candiota","4304358","-31.551500000000","-53.677300000000","1"
"Canela","4304408","-29.356000000000","-50.811900000000","2"
"Canguçu","4304507","-31.396000000000","-52.678199999990","4"
"Canoas","4304606","-29.912800000000","-51.185699999990","70"
"Capão Bonito do Sul","4304622","-29.764199999990","-50.028199999990","1"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","12"
"Capitão","4304697","-29.267399999990","-51.985300000000","1"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","1"
"Caraá","4304713","-29.786899999990","-50.431600000000","2"
"Carazinho","4304705","-28.295800000000","-52.793300000000","9"
"Casca","4304903","-28.560500000000","-51.981499999990","1"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","84"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","1"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","1"
"Chapada","4305306","-28.055900000000","-53.066499999990","1"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","4"
"Chuvisca","4305447","-30.750399999990","-51.973700000000","1"
"Cidreira","4305454","-30.160399999990","-50.233800000000","2"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","1"
"Colinas","4305587","-29.381499999990","-51.852600000000","1"
"Constantina","4305801","-27.731999999990","-52.993800000000","1"
"Coqueiros do Sul","4305850","-28.119399999990","-52.784199999990","1"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","2"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","1"
"Cristal","4306056","-31.004600000000","-52.043599999990","3"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","1"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","8"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","2"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","2"
"Dois Irmãos das Missões","4306429","-27.662099999990","-53.530400000000","1"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","2"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","5"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","7"
"Encantado","4306809","-29.235099999990","-51.870300000000","2"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","5"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","2"
"Erechim","4307005","-27.636399999990","-52.269700000000","17"
"Ernestina","4307054","-28.497699999990","-52.583599999990","1"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","1"
"Espumoso","4307500","-28.728600000000","-52.846100000000","3"
"Estação","4307559","-27.913499999990","-52.263500000000","2"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","1"
"Esteio","4307708","-29.852000000000","-51.184100000000","12"
"Estrela","4307807","-29.501600000000","-51.960500000000","2"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","2"
"Eugênio de Castro","4307831","-28.531500000000","-54.150599999990","1"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","1"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","3"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","3"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","3"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","5"
"Garruchos","4308656","-28.194400000000","-55.638300000000","1"
"Gaurama","4308706","-27.585599999990","-52.091500000000","1"
"General Câmara","4308805","-29.903199999990","-51.761200000000","1"
"Giruá","4309001","-28.029699999990","-54.351700000000","2"
"Glorinha","4309050","-29.879799999990","-50.773400000000","1"
"Gramado","4309100","-29.373300000000","-50.876199999990","3"
"Gramado Xavier","4309159","-29.270600000000","-52.579500000000","2"
"Gravataí","4309209","-29.941299999990","-50.986899999990","41"
"Guaíba","4309308","-30.108599999990","-51.323300000000","21"
"Guaporé","4309407","-28.839900000000","-51.889499999990","1"
"Guarani das Missões","4309506","-28.149100000000","-54.562899999990","2"
"Horizontina","4309605","-27.628200000000","-54.305300000000","2"
"Ibarama","4309753","-29.420300000000","-53.129500000000","2"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","2"
"Ijuí","4310207","-28.388100000000","-53.920000000000","4"
"Ilópolis","4310306","-28.928200000000","-52.125799999990","2"
"Imbé","4310330","-29.975300000000","-50.128100000000","3"
"Iraí","4310504","-27.195100000000","-53.254300000000","2"
"Itapuca","4310579","-28.776800000000","-52.169300000000","1"
"Itaqui","4310603","-29.131000000000","-56.551499999990","7"
"Jaguarão","4311007","-32.560400000000","-53.377000000000","1"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","1"
"Jóia","4311155","-28.643500000000","-54.114100000000","1"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","1"
"Lagoão","4311254","-29.234800000000","-52.799700000000","2"
"Lajeado","4311403","-29.459099999990","-51.964399999990","8"
"Lajeado do Bugre","4311429","-27.691299999990","-53.181800000000","1"
"Lindolfo Collor","4311627","-29.585899999990","-51.214100000000","1"
