"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2011 (-)"
"Aceguá","4300034","-31.860759999990","-54.167059999990","1"
"Alecrim","4300307","-27.657900000000","-54.764899999990","1"
"Alegrete","4300406","-29.790199999990","-55.794899999990","9"
"Alvorada","4300604","-29.991399999990","-51.080900000000","88"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","1"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","2"
"Antônio Prado","4300802","-28.856500000000","-51.288300000000","1"
"Araricá","4300877","-29.616800000000","-50.929099999990","1"
"Aratiba","4300901","-27.397800000000","-52.297499999990","1"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","1"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","2"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","5"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","3"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","2"
"Áurea","4301552","-27.693600000000","-52.050500000000","1"
"Bagé","4301602","-31.329699999990","-54.099899999990","10"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","3"
"Barão","4301651","-29.372500000000","-51.494900000000","1"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","2"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","1"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","1"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","16"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","2"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","1"
"Brochier","4302659","-29.550100000000","-51.594499999990","1"
"Butiá","4302709","-30.117899999990","-51.960099999990","4"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","4"
"Cacequi","4302907","-29.888300000000","-54.822000000000","3"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","9"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","22"
"Caiçara","4303400","-27.279100000000","-53.425699999990","1"
"Camaquã","4303509","-30.848900000000","-51.804299999990","9"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","2"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","1"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","3"
"Candelária","4304200","-29.668399999990","-52.789499999990","12"
"Candiota","4304358","-31.551500000000","-53.677300000000","1"
"Canela","4304408","-29.356000000000","-50.811900000000","4"
"Canguçu","4304507","-31.396000000000","-52.678199999990","2"
