"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2004 (-)"
"Aceguá","4300034","-31.860759999990","-54.167059999990","1"
"Agudo","4300109","-29.644700000000","-53.251500000000","3"
"Alecrim","4300307","-27.657900000000","-54.764899999990","1"
"Alegrete","4300406","-29.790199999990","-55.794899999990","6"
"Alegria","4300455","-27.834499999990","-54.055700000000","1"
"Alvorada","4300604","-29.991399999990","-51.080900000000","72"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","2"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","2"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","1"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","1"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","4"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","3"
"Bagé","4301602","-31.329699999990","-54.099899999990","6"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","2"
"Barracão","4301800","-27.673900000000","-51.458599999990","2"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","3"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","4"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","1"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","1"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","1"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","1"
"Braga","4302600","-27.617300000000","-53.740499999990","2"
"Butiá","4302709","-30.117899999990","-51.960099999990","2"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","2"
"Cacequi","4302907","-29.888300000000","-54.822000000000","2"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","5"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","14"
"Camaquã","4303509","-30.848900000000","-51.804299999990","5"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","1"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","2"
"Candelária","4304200","-29.668399999990","-52.789499999990","6"
"Candiota","4304358","-31.551500000000","-53.677300000000","4"
"Canela","4304408","-29.356000000000","-50.811900000000","3"
"Canguçu","4304507","-31.396000000000","-52.678199999990","3"
"Canoas","4304606","-29.912800000000","-51.185699999990","42"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","1"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","3"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","1"
"Capitão","4304697","-29.267399999990","-51.985300000000","1"
"Carazinho","4304705","-28.295800000000","-52.793300000000","6"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","1"
"Catuípe","4305009","-28.255400000000","-54.013199999990","1"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","64"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","1"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","5"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","2"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","1"
"Constantina","4305801","-27.731999999990","-52.993800000000","1"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","1"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","8"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","1"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","1"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","1"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","1"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","1"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","5"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","8"
"Encantado","4306809","-29.235099999990","-51.870300000000","1"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","1"
"Entre-ijuís","4306932","-28.368600000000","-54.268599999990","1"
"Erechim","4307005","-27.636399999990","-52.269700000000","11"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","1"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","2"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","5"
"Esteio","4307708","-29.852000000000","-51.184100000000","10"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","2"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","1"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","2"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","2"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","5"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","1"
"General Câmara","4308805","-29.903199999990","-51.761200000000","2"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","3"
"Giruá","4309001","-28.029699999990","-54.351700000000","3"
"Gramado","4309100","-29.373300000000","-50.876199999990","1"
