"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2012 (-)"
"Jacuizinho","4310876","-29.021999999990","-53.053699999990","1"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","2"
"Jóia","4311155","-28.643500000000","-54.114100000000","1"
"Júlio de Castilhos","4311205","-29.229800000000","-53.677199999990","2"
"Lajeado","4311403","-29.459099999990","-51.964399999990","13"
"Machadinho","4311700","-27.566700000000","-51.666800000000","1"
"Manoel Viana","4311759","-29.585899999990","-55.484099999990","1"
"Marau","4311809","-28.449800000000","-52.198599999990","5"
"Marcelino Ramos","4311908","-27.467600000000","-51.909500000000","1"
"Mato Castelhano","4312138","-28.280000000000","-52.193199999990","1"
"Miraguaí","4312302","-27.497000000000","-53.689100000000","1"
"Montenegro","4312401","-29.682400000000","-51.467900000000","3"
"Mostardas","4312500","-31.105399999990","-50.916699999990","2"
"Muçum","4312609","-29.163000000000","-51.871400000000","1"
"Muitos Capões","4312617","-28.313199999990","-51.183599999990","1"
"Nonoai","4312708","-27.368900000000","-52.775599999990","1"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","2"
"Nova Pádua","4313086","-29.027500000000","-51.309800000000","1"
"Nova Palma","4313102","-29.471000000000","-53.468899999990","3"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","1"
"Nova Ramada","4313334","-28.066700000000","-53.699199999990","2"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","2"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","87"
"Novo Machado","4313425","-27.576499999990","-54.503599999990","1"
"Novo Xingu","4313466","-27.743099999990","-53.061599999990","1"
"Osório","4313508","-29.888100000000","-50.266700000000","7"
"Paim Filho","4313607","-27.707500000000","-51.762999999990","1"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","3"
"Palmeira das Missões","4313706","-27.900600000000","-53.313400000000","3"
"Panambi","4313904","-28.283300000000","-53.502299999990","1"
"Paraíso do Sul","4314027","-29.671700000000","-53.143999999990","1"
"Parobé","4314050","-29.624300000000","-50.831200000000","7"
"Passa Sete","4314068","-29.457699999990","-52.959899999990","2"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","42"
"Pedro Osório","4314209","-31.864200000000","-52.818399999990","1"
"Pelotas","4314407","-31.764900000000","-52.337100000000","55"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","1"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","1"
"Piratini","4314605","-31.447299999990","-53.097299999990","2"
"Planalto","4314704","-27.329699999990","-53.057500000000","3"
"Portão","4314803","-29.701499999990","-51.242899999990","7"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","460"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","1"
"Protásio Alves","4315172","-28.757200000000","-51.475700000000","1"
